ID,Hash,Name,Other
4256,0fea529acc064e8750b946c15b8f914123cdce55,evoplay,Tree Of Light Bonus Buy,
4257,fca2dfe31dcc6e7919c73a065c8fcbb2ccea348c,evoplay,Money Minter,
4258,e671e426cb8d6bafeb98b60f338baf11eb23f3ad,tomhorn,Hawaiian Fever,
5307,5564330d42543293c15533a0e1d231d8c5cf90a9,amigogaming,American Spirit,-
4261,cbf7cfa9ef54b894c3f1c628d1e7a29f00ddc917,macawgaming,Joker's Smile,-
4262,f2ec36e8660c258bcae04ac7807285fd7e721cbf,macawgaming,Joker's Smile Mobile,-
4263,15336b6223ca4bf6cbdeeaf7a8b253823957d8f5,macawgaming,MacLudo,-
4264,be92569e9279422187546c54553ad326d8907b3b,macawgaming,MacLudo Mobile,-
4265,5a5ac82b92f933d38706ea3afd97430e7b14bf79,mascot,Fruit Disco: Mega Stacks,
4267,06eb269178558b8a5627dac0e81eb036daf444be,platipus,Pearls of the Ocean,
4268,75ccd1e56f4313a523d8968360c00cc6c2b4443d,bfgames,Burning Slots 40,
4269,4fd8bf44c0ee09f825abff65b8c173be5df14d08,playson,Luxor Gold: Hold and Win,
4270,b3ed8af84244856532df0b8ccf5b9f52f3f9537a,playson,Luxor Gold: Hold and Win Mobile,
7187,4fd1495b4985a8c91485563935b9fb146ad3777b,kagaming,Giant Fish Hunter,-
7188,5e19fe5fa2614eb5dbe2bdfdaf9e71c121101931,kagaming,Giant Fish Hunter Mobile,-
7189,ba6296d92ccbc3c2a79601825d13f63abb96b41c,kagaming,Iron Chicken Hunter,-
7190,19be8eac412e40b4e73e2b69ab4d1ff403592c3e,kagaming,Iron Chicken Hunter Mobile,-
7191,513a05b73ef97401fdc1a3c3ff204bde521501de,kagaming,Demon Fox,
7192,ab6e3565cbf767f540cc0925afa6fb7c02a69908,kagaming,Demon Fox Mobile,
7193,8cac79f16c750b57a6c75e546705946f27ed24da,kagaming,Super Energy,
7194,e4dd3a987a57b082cd273cc2c75a08149bd86cdb,kagaming,Super Energy Mobile,
7195,ea7ec383d4a4e8ba2868cdb833a7829fba60608a,kagaming,Cthulhu Secret,
7196,ab250f6c89d03f84a3364e5f8f293a695b8fb3e7,kagaming,Cthulhu Secret Mobile,
7197,55e11fbbf13f45d80ac1b41d3f973b6f1201e21d,kagaming,Fighting Girls,
7198,69f35f8e842ab7d1287d4eb495a80a7d66e9691f,kagaming,Fighting Girls Mobile,
4271,8c97d9f2277ada74e071a5f14c9a3c8f2de7f7d4,redrake,Super 25 Stars,
4272,aedb839b74696dcf5872c637ea88f5c3686f86b0,dlv,Fruitong,-
4273,74594067192c0c727419558d2da82638a1b02135,spadegaming,Journey to the Wild,-
4274,25cfe6aabd146c4b0b86dfcd04d731fff7711814,caleta,Bingo Royale,-
4275,8e77d2a3efdfee83bd10e02bfd0e2c72519f012a,caleta,Bingo Royale Mobile,-
4276,f2a0f0544a915c922ed57dcd7f54232352b43257,fantasma,Flower Fortunes Supreme,
4277,5a9191c07694963f9fdb9c68720ef29c5cf34940,fantasma,Flower Fortunes Supreme Mobile,
4281,f6a620090781825e45a53055d9947835f37f00ee,nucleus,Juicy Bonanza Mobile,-
4282,010796866965bb5b099742866c8112d8172fa5cf,fantasma,Magikspell,
4283,1bef26ba36aeaffdc251f63b81309f1608d57fce,fantasma,Magikspell Mobile,
4284,acdb6ef0f6d6ca5b99087b0c20907fba8765ab63,betsoft,Book of Helios,
4286,8dd346da3019a128d0f3df027632113306804f77,betsoft,Deuces Wild Video Poker,-
4287,eddc24995cd8d50db2e3748bc82c4ad37f97a277,betsoft,Dragon Kings,
5135,6a9a3b6ac0764510a4e5b43fefd3c7c1,blueprint,Jungle Fortune Mobile,-
4288,e7fb068363cf25d4398b3b1e1ea49d37cf8f3986,betsoft,Draw High Low,
4289,45d29dfe4039d742801d89e5a181676d184b56c7,triplecherry,Hunters: Cursed Masks,-
7201,2cbb7e3d0370459a6710b146abb3df152fce0e32,pragmaticplay,Magic Money Maze Mobile,
7203,452b56ca11d698372fbc2196ea85444eb9b76611,pragmaticplay,Gorilla Mayhem Mobile,
7204,93a34a71eddde28049e4548bbf6dd33f4f88cca7,habanero,Space Goonz,
5308,1d3505906574e3dc4fabf0a0bb5c3a3d3397d8d6,netgaming,Dragon Fortress - Battle of the Castle,-
5309,7b6e77386b1caa13da45aeaaf52a54c7f55dfd88,netgaming,Dragon Fortress - Battle of the Castle Mobile,-
4292,b58a80d58bffe4dd6a6f144c1198252bb7c45446,elysiumstudios,Battle of Myths,-
4293,ca397a2c7b7e05abe791d1fac0a4ccb8adad792c,elysiumstudios,Battle of Myths Mobile,-
4294,845894b070b9f613789a7fcd2f71144866cdbea6,mascot,Princess and Dwarfs,
4295,e5f069091a22200c3ff9d7b79999736bbda785a0,eurasiangamingslots,Genie 2,-
4296,700eb6e64ebc0ed05890c7fe0f32d1acc2a69fc0,eurasiangamingslots,Genie 2 Mobile,-
4297,8a0c0da18e62d16aa6e3ccd813fc411946b86f49,eurasiangamingslots,WuKong,
4298,f70540c82e0303a21c5c6eef0043d28ff910e3cd,eurasiangamingslots,WuKong Mobile,
4299,40a16bc3c9a814d04c84354346552b4fa7ce8459,eurasiangamingslots,Yakuza,
4300,8b9862e43d474a90b1d966b1ebbb5bb60fc956cc9,eurasiangamingslots,Yakuza Mobile,
4301,6ab4fa2ce060bb91d4a26dd48d174130c53563a5,eurasiangamingslots,Crittermania,-
4302,8b1471fdb7144c4627e0769eadedfb5f789d65ed,eurasiangamingslots,Crittermania Mobile,-
4303,aba0976cfd98d3f1a1faa5873bac1816e48e7da8,eurasiangamingslots,Wealth God Mobile,
4304,f01cfad96841fd15a52807f4b21f015302e64900,eurasiangamingslots,Wealth God,
7206,53fe2c4534e11433b457a553d4bdcbe0fb8f6640,kagaming,Three Headed Dragon,-
7207,8879bf8a32596cc1fa8a86b5dffd3bf0bac09db5,kagaming,Three Headed Dragon Mobile,-
7208,c18547f9b3824596435d6acc3d60bd2f7a0a3a81,kagaming,Legend Of Akihiro,
7209,92b8ea5f501560fe0149cf8979c8bc71b6f1d5ee,kagaming,Legend Of Akihiro Mobile,
7210,1593aa2f8eb34ba5540c640b29a2fbba2a0751ed,kagaming,Treasure Carp,
7211,53a438ecdc87a8a32d3be03c6232d5e4189d7178,kagaming,Treasure Carp Mobile,
7212,ad54d93fee7be02cbf1b0c096a2ed3fe6244cafb,kagaming,County Seat,
7213,157eec8eca14e28c139f2ee261773a8679f90968,kagaming,County Seat Mobile,
7214,36b6d77b845ed0a164b2dc7708cf5e8ed0c52f56,kagaming,Sleepwalking Sheep,
7215,b81be13771bd63c05da8321ff236a28e8e8a4074,kagaming,Sleepwalking Sheep Mobile,
7216,aa89c274d362e447a44ebb58e8f86e7f92c81348,kagaming,Ghost Festival,
7217,fa58b202eea6a5bd9a84381bbe0255de253e964d,kagaming,Ghost Festival Mobile,
4305,6ef1115af9e32c59fb73bf999e0b6c0da196a7e6,evoplay,Magic Chest,
7218,a88a0573845a4d3b8fcef5e033340ad31cf34ee5,spinomenal,Wolf Fang – Deep Forest,
7219,f797555ce152b580f4aa94fc169b1d1247d38eb9,spinomenal,Book Of Sirens – Golden Pearl,stake
7221,6ca4112b1a3c52934b60515abfe9c10d5c39fb43,pragmaticplay,Greedy Wolf Mobile,
4307,206f8274daac1ad24e0689eddaaf405b0e2d9eaa,blueprint,Gold Blitz Free Spins Fortune Play,-
4308,9b133f422d8e243f55d7bcf6fc6c1c710a66587d,blueprint,Gold Blitz Free Spins Fortune Play Mobile,-
4309,a851c04e5e1642d7679459154b6c8f88c2970737,platipus,Book of Light,
4310,110f544b4e7c7000bbb33590b1b1e2f3e11411df,evoplay,Wolf Hiding,
4311,f6573dfe5225f0d3eb56fc99a4e0eca894268f1e,smartsoft,Plinko X,-
4312,94c6464b496410076799d7f91a4faf08a91649cb,playson,Ruby Hit: Hold and Win,-
4313,f963f4d25492e488dac97f0663e679d3e4bcfc5d,playson,Ruby Hit: Hold and Win Mobile,-
4314,8f9245dc025de89a407d99ef7a6a05fe51e9db1c,vivogaming,Teen Patti,
8078,a2059bebd9d7bf2629299135142eb0f0944f73aa,pragmaticplaylive,Boom City,
8079,631da37d5c868f778baf38fb2776d4cffea982bf,pragmaticplaylive,Boom City Mobile,
7224,f258517976ca9aa4d4ef11a9e7179194f44be49a,kagaming,Zombie Chicken,
7225,55a97f706c4cebd23c237d03aa0130bf9dd648f7,kagaming,Zombie Chicken Mobile,
7226,175c49f66cfabe9307fa1001af73578fa6733a54,kagaming,Monster Island,
7227,4a3d8e1dde5e55072f8448f6db91aa03e7bea0e0,kagaming,Monster Island Mobile,
7228,a2a6fb6f60e8cd653ab406f1ad11123891eb678a,kagaming,Seagull,
7229,66feb214d4b6e1e007b056def771df3131d53da1,kagaming,Seagull Mobile,
7230,c2729da4178451d67a3524ff1f721ad708f36833,kagaming,Ghosts Fortune,
7231,877a96975b90089fee07214bba1ecd89822712ae,kagaming,Ghosts Fortune Mobile,
7232,00cef4435b849fa0407f38a36792bfa17dd20142,kagaming,Zombie Expert,
7233,d5ea89880e509bdaa0a251cc3f1d13e782c4f886,kagaming,Zombie Expert Mobile,
7234,241416cf30b339eed7d0269d4b44a04f6acd3b03,kagaming,Wild Jungle,
326,a7e694d56066d9541b5978766363cb2f57ac81f1,blueprint,Jokers Cap,-
7235,8ddcbb6b1a45f040eae2d34353d495a6a7c09949,kagaming,Wild Jungle Mobile,
4315,34148f6d7a7fb0074f834dc59a9cd2ef3e979d32,gamebeat,Sea Secret,
329,61a6c8d5c2a8d386ebf4ed19d01d69b114ee0044,blueprint,Windfall,-
4316,9df099a1cb76aa744089af9e7b3889407b2c8a57,gamebeat,Sea Secret Mobile,
4317,0f7fcfbcf58990fb9e1e4c1e6f8c210551480377,redrake,Lucky Adam,
4318,0db299b65c9c28e37462a32036b168093fd33825,gameart,Surfin' Joker,
4319,f765a9ea5f113a086048be418e146eb8532e9839,greenjade,Tap Tap Splat,-
7237,6f7795bb64f8066ab60d4533fe9449a50f4b3f4c,pragmaticplay,Black Bull Mobile,
4320,863c02df9676f26d4c6943b033011665be69eada,slotmill,Money Jar,-
4321,150472af286f2f4312f07fffe87128c2711bb26d,slotmill,Money Jar Mobile,-
4323,1ccf4cec748a5d1fa4d01da60daa9a1bd55e0d2e,wazdan,9 Burning Stars Mobile,
4325,e1f023af4270d5663bbf6fcbe64059e3a5d5e058,nolimitcity,Road Rage Mobile,
5310,36c2f1718e109b3cf6530637007cc9d349e7cf7d,amigogaming,Viking's Quest,-
4326,851a7705370aec27ccd7e703dc63336f971fee03,wazdan,Sizzling Kingdom Bison,
4327,669e4ea8be0184336309b80bc06244cb9f305c08,wazdan,Sizzling Kingdom Bison Mobile,
7240,c793df46e2d03b95aeb7d399d76f12b04391cece,spinomenal,Tennis Champion - Dice,
7241,04ec5b033d1415fb24c57786bebf3606b7eb2f8e,spinomenal,Glowing Fruits Dice,
7242,c325e2d635360568fc8df83af392dde2de2e6bc0,spinomenal,Egyptian Ways Dice,
7243,83d39a6419676c971e4814ae3b00fc3477c37848,spinomenal,1 Reel Patrick Dice,-
7244,f146c61c1e87a731681fc3941af9d9f03d2f9edc,spinomenal,Golden Piggy Bank - Dice,
7245,aef6465f57e0b49a1b29f9f05eecf4afa33087bd,spinomenal,Wild Santa Dice,
7246,eea181edb4aa1f4aaa4b36ff40e6e09c7d259d51,spinomenal,1 Reel Egypt Dice,
4330,9117a28ecefe54ebb9f812e1cbafdf0de9ace433,smartsoft,Cricket X,-
7247,1d481688698b452f6bbaaf45844ea7a247966bcd,revolvergaming,Deadly Outlaw,
7249,c496882255741fac4bcec0dccaa65e67b3a42634,pragmaticplay,Hot to Burn Extreme,
7250,0621ae3dfffb49a10fb4ac07c263ea2ff0d5d780,pragmaticplay,Hot to Burn Extreme Mobile,
4332,b1db5a2fc188606312178b30cc8ac4ba7cd8cfb9,blueprint,Bon Bomb Luxpots Megaways,-
4333,49990ac9e5727491f2b5d635b65732eff9562943,blueprint,Bon Bomb Luxpots Megaways Mobile,-
4,plinko,spribe,Plinko,
4334,9f929732e226baf93d02c8c8f875f73c1de1cef6,blueprint,Fishing Frenzy The Big Catch,-
4335,7d9cd0e084725e46a4b0148cc5a1a0c26fe724e3,blueprint,Fishing Frenzy The Big Catch Mobile,-
4336,e3f54069c00e172b411eda99e14b78366ca360df,eurasiangamingslots,Legend of White Snake,
4337,219539fc0b5f9609556f072811e2481ef59d13fa,eurasiangamingslots,Legend of White Snake Mobile,
4338,725a134dfc8a90c0ede4f3817fdbe4cccdc414d0,eurasiangamingslots,Pan Jin Lian 2,
4339,a016b9e88aee029762cc46091d8157fd7f91dd96,eurasiangamingslots,Pan Jin Lian 2 Mobile,
4340,9aa61399f4efbc0dc99558b03cc10a7de7cb15be,caleta,Paradise Trippies Slot,
4341,a2ca9e5cab76d856e4a47d9617fe656e6375ab97,caleta,Paradise Trippies Slot Mobile,
4342,0cd9bd8be9ecc15db824ed17a1520ae422264032,yggdrasil,MexoMax!,
4343,fb6f982f126373359d957f1588ced1d96cd394b8,yggdrasil,MexoMax! Mobile,
4344,fb5e828668b0f226a55fdfa92b0b34bfbad04720,evoplay,Camino De Chili Bonus Buy,
4345,e6259ecb958c606a553e6ba252ff347b6280b666,vibragaming,Roulette European,
7254,5c859168023273102a7ecd78a9aa3d4c193ddb5b,pragmaticplay,Down the Rails Mobile,
4347,0de6593081c5604c6a4305c218dc2c8c41918240,relaxgamingslots,Dead Riders Trail Mobile,
4348,a8d612003245085568f55e311f746ced6f880a29,superlottofast,Forest of Spirits,-
4349,b181a828209a06d4f8682a2bcb402059b5323e48,superlottofast,Midsummer Night,-
4350,37480fd5edf00eb9b2670818203ae6895119ffaa,spadegaming,Captain Golds Fortune,-
4351,58abdcdddf2106cece086becfd9948d699f5570b,smartsoft,Zombies,-
4352,a77abccd4c6f7522fdcc97839ee460b729dc0489,smartsoft,Multi Hot 5,-
4353,577a17b88435f1faac5bfaf83378bb9fce704be2,smartsoft,The Kingdom of the Elves,-
4355,d6ce67c8b2d81fccd4288bd80c10aae7bcee6e7b,evoplay,Hot Volcano,
4356,c4014251e41da264268acb28d7bdf7d3281d4576,triplecherry,Bounty Seas,-
395,2580bdeb2384de1fafaefd9c31c4d4e129665e08,blueprint,Windfall Mobile,-
5311,e6bf4199e02c3ee26b68dfbd8e1a35a57b125253,netgaming,Juicy Gold 100,-
5312,7d827d3259219d9552dc5dfb65b2265147a70d7a,netgaming,Juicy Gold 100 Mobile,-
4357,2417c8520c9de57c4d23342888938031fd0d3421,bfgames,Stunning Cash,
7257,307ca25d94c72e5c172924a9334fec1bc2e2c758,kagaming,Mermaid World,-
7258,df4a25cfb195833365e83d2c547697570e53edbe,kagaming,Mermaid World Mobile,-
7259,b7cd6245de2e6f193bc64e50d44bdf849e002ee6,kagaming,Chai Gong,
7260,5526eef9dc3ffae8c5f4a9bd05f4f2642171d5e0,kagaming,Chai Gong Mobile,
7261,037a7b763d80a02bb51dda126a16cd340f211b72,kagaming,Apollo And Artemis,
7262,7c9c2f9700b89d3e849b810a9af033d0b7fe5554,kagaming,Apollo And Artemis Mobile,
7263,3339efd9c496f809b600bec3e0a3e2904f8fb597,kagaming,Tiger Girl,
7264,d2f920ce2dd43fed422390eb18756589382df0b1,kagaming,Tiger Girl Mobile,
7265,2130684c71a57b9ed07358ea2386f10bb1b853b1b,kagaming,Creator Ra,
7266,f81f709b7b77b7962b8bdf32589d2c38b331ec60,kagaming,Creator Ra Mobile,
7267,499aaddfbaea26b958bdacbc4e5665dbabab60d7,kagaming,Secret Agent,
7268,b051e60ab4d247095cb511c2462b5ac30cf004e2,kagaming,Secret Agent Mobile,
5313,308f366b5c4ef626797050ce0bbf3714bc255d1a,amigogaming,Amigo Wild Luck,-
4358,911d48457152fab731b78829fe1afff502ebc430,fantasma,Animal Carnival,
413,f142f342b203a089c03ab9c638cb177f656b451b,blueprint,Jokers Cap Mobile,-
4359,dc50dd52a23c4d9825e794f9f2c6d9a69ebfb02c,fantasma,Animal Carnival Mobile,
7269,534a736155763508a68deab06016a8d0f89f3aaf,leapgaming,Sweet Vegas,-
7270,f78a777a44f62704a2a05942e87729382a0781f8,leapgaming,Sweet Vegas Mobile,-
7272,5c51439059954c0c297ca1399b98337e85dc2719,pragmaticplay,Octobeer Fortunes Mobile,
7274,a56e8f972d6e560ef86a9a26ec3b40fced75c45b,pragmaticplay,Fire Hot 100 Mobile,
7276,78f82c8f4f13fb6336240c9c8a8767af19e84c16,pragmaticplay,Fire Hot 40 Mobile,
7278,8e2338c9805efa7012d42c853d297d7c76ec421d,pragmaticplay,Fire Hot 20 Mobile,
7280,c30d82607a675d6cc2443a8a4c9cf49317a2d0b4,pragmaticplay,Fire Hot 5 Mobile,
4360,9ea5a7bf77d604d160a7e001e604549b8c121565,betsoft,Winds of Wealth,
4361,b034c61fbe891460c18dfb32b5bdc9c6128eca33,gamebeat,Odin's Tree,
4362,2110aae64536b4407c22a7661e26c820a38d2fab,gamebeat,Odin's Tree Mobile,
4363,bdd9d00effce4c51a6da887ff89e3ec897914968,platipus,Coinfest,
4364,ff27475b13130665f52993ba939d092bc53b8a60,bgaming,Wild Cash X9990,
7281,2add8b3a4c7eef2f1887fbe1cb898abbb8499665,habanero,Laughing Buddha,
4366,00bb6238c486857044398a72ff02c225d80f008e,mascot,Loot the Train,
8,mini-roulette,spribe,Mini roulette,
7282,187872deb9ee3136ef95a18eb8adca380cd0abf7,spinomenal,Egyptian Myth - Tales of Fortune,
4367,afe797f88c1b0b6a6bcbacb7cda98a7de7c3721a,evoplay,Candy Dreams Sweet Planet Bonus Buy,
4368,1fd8193e8f820c88e741e7eebd9346fc8c055c14,gamzix,Buffalo Coin: Hold The Spin,-
4369,506c6083898ca098df5fd1f3a0385dcf1b4332f6,gamzix,Buffalo Coin: Hold The Spin Mobile,-
4370,09f0d04458f132aea8dd84c9c5c036d3cfc50484,gamzix,3*3 Hold The Spin,
4371,1e1d5e9978de780b7704b9a32b6d60f6aa36397f,gamzix,3*3 Hold The Spin Mobile,
4372,10ff3929a5484f5dc24dfcad71d7c21d6756b83a,gamzix,Pilot,-
4373,51efab48511110c4e1c35d7345a3c05e4ef1cc86,gamzix,Pilot Mobile,-
5314,584af8e19faa22984272389c2126e98ac4d6d7fa,amigogaming,Vasco Da Gama,-
7284,478f69234c0c509792704cb27020034ca2cf70f4,spinomenal,Wolf Fang – Golden Sands,
7285,dfe40c13cfaa02699312743118825e1d01a31564,spinomenal,Story Of The Samurai – The last Rōnin,
4374,67b4f3321d769267d9c916db18465e75f66d7ec4,tomhorn,3 Mermaids,
4375,8e8fc2bb56bd137da3613425b6c8a43781c52b6d,evoplay,Mega Greatest Catch,
4377,3a9a3802b9ef615790ba6ab4c8e5a6b514fd5c69,playson,Ultra Fortunator: Hold and Win,-
4378,19e87e485b22f7358745914965e5d0195276e4ac,playson,Ultra Fortunator: Hold and Win Mobile,-
4379,efac1aa99452cf343ad159fbbf0347c76fcfd00e,blueprint,7s Deluxe Wild Fortune Play,-
4380,8ab5c1c4ddf87a1076a3eecc198350fc26f1fc01,blueprint,7s Deluxe Wild Fortune Play Mobile,-
7290,2c6ca8bf764c2ffd1c91527f7a4a240de056c901,pragmaticplay,Happy Hooves Mobile,
4382,6d89591935bec845e32f11623e3b3f284aaea102,tripleprofitsgames,Raging Bull Mobile,
4383,690d3932c4df1da0a73fd8f3303a747aca8f8482,tripleprofitsgames,Knight Gambit,
4384,6da1489cfce7d1f785a646b40f498d5bbd39e7d7,tripleprofitsgames,Knight Gambit Mobile,
4386,0a310505f8e79d0e0a8931b0b9d83e54cfe2bd6d,wazdan,Hot Slot Magic Bombs,
4387,6ebdd6f73f3574fde324ecaa87f03314f7961f79,wazdan,Hot Slot Magic Bombs Mobile,
7292,6df2898c50bed9be9af3b65fe59d5ff455b1b18e,pragmaticplay,Striking Hot 5 Mobile,
7,keno,spribe,Keno,
7294,d2d1143eaf7484e7aa6e17e0045a54516b27c4cd,pragmaticplay,Book of Golden Sands Mobile,
7295,f613b25f8605e1a9d184d87c1e40a60618679665,kagaming,Ocean Princess,
7296,fe6badc0556e6f61e4fb8593b987f9fba7df14d0,kagaming,Ocean Princess Mobile,
7297,d81b37c6a2557ba4c4eeb0112eb1d718ed17a101,kagaming,Happy Food Hunter,-
7298,4f6ac746f24474de3f0b16fd7c1c3dfa2610eab9,kagaming,Happy Food Hunter Mobile,-
7299,e354c9a8a0f1f48046e4c7659acaa1a7fb0024d1,kagaming,Book Of Moon,
7300,3e169c9df4a1f33cc8db0238ef4cae319c7a33b2,kagaming,Book Of Moon Mobile,
7301,70d196ed618f550d440e8506a2de0afbb017202f,kagaming,Hare VS Tortoise,
7302,d39d6eeba095dd0077c6ced0e25aecbca6776229,kagaming,Hare VS Tortoise Mobile,
7303,d24dd67c09f8baf95fb6d27129329704a6395751,kagaming,Chain Of Wild,
7304,1d545af744841b7bb7e32c78a46dee29017919c2,kagaming,Chain Of Wild Mobile,
7305,ef2df0597ec372c7d21732a3cfb8c6167198fee6,kagaming,Hamlet,
7306,ab6a9ca95a222b5cf83dfa891ed979edaa63ce6b,kagaming,Hamlet Mobile,
4389,bc793f8c68d818f9ce488f395401f4b2a851b994,nolimitcity,The Border Mobile,
4390,c70a0df166572c7876a8dd3e319d8fd2ccb7877a,spadegaming,Sugar Party,-
4391,d44f7cedd3a486bc8a4e209fc460bc5ba49d3c73,evoplay,Massive Luck,
7309,38fc9c805a5c2bd8ff0ce8b0e0afc9d6caa68f7a,leapgaming,Virtual Football League,
7310,d1af17a8805106515e86e7c83f5513af713533a5,leapgaming,Virtual Football League Mobile,
5315,897d41a8d20af5f3443ac2a6f2c59a9e6fb7a284,amigogaming,Thai Charm,-
4392,394ed2a0c4f1379ff9ed467a77f2195996e100b7,hogaming,C1 Roulette,
4393,0a1ba6dcb218bedb8794f9092b9aa18a0c8c9f0a,hogaming,CA1 Roulette,
4394,a5d1b369edc82381f536b4f77a435858e8ae4046,hogaming,J2 Blackjack,
4396,7581867adce539b241063bb86258adb865154f0a,hogaming,C1 Speed Baccarat,
4397,a27fc52631c8a1479bceaf3fa6694b3707c628e1,hogaming,C2 Speed Baccarat,
4398,7e11482f89bd1117cbfeb6b4fe86cd291375f16c,hogaming,C3 Speed Baccarat,
4399,3f7f7221223ef095679e017c60d90d416705efeb,hogaming,C4 Baccarat,
4403,849d4b97d90ef3ee1c79b235c933271bc7e0bc66,hogaming,CA1 Speed Baccarat,
4405,ff8faba4fdf2ec750eadf04fae6fe3115de68b1b,hogaming,A2 Speed Baccarat,
4406,92f92810c660566b3d707b7d6589ea30499d3481,hogaming,CA3 Speed Baccarat,
4407,2a7c9c1447ec3381a54d3b40a7756b4751eac05a,hogaming,CA5 Baccarat,
4409,2d4bdf11b8b2c69d397a54ec6e869a57a6ea49ca,triplecherry,Ying Yang Legends,-
4410,0f15077f186614ec9646cd9b534a46afe30e8280,vibragaming,Blackjack,-
7312,7d26918f74c3ba1065c1242abf8294ec2c58bf20,pragmaticplay,Crown of Fire Mobile,
7313,d7988d1b13f87ee71fb538a92c53cbbce22ca97e,pragmaticplay,Wild Hop&Drop,
7314,3dd15e8367c4938313e8845dc8ab21f43d952e7b,pragmaticplay,Wild Hop&Drop Mobile,
4412,423139f7a1224119217a12ebd95edb91439878b7,evoplay,Money Minter Bonus Buy,
4413,99166c085feeb3d9b6321bb8ff0d7a4b98a29bbe,caleta,Fruitverse,-
4414,f81799dd4b063d7e2d48759d6e2cd9a5e31ae4d1,caleta,Fruitverse Mobile,-
7316,d74790443354d2d59236ad8ff2fa5b05b89cbc6a,spinomenal,Wolf Fang –The Wilderness,-
5316,7eae124106a4f6039ab24c82065398207c7eec7e,amigogaming,Amigo Mighty Stars,-
4416,6e60cf4bf63f4cc9e5420461285b48d5ee4990da,playson,Royal Coins 2: Hold and Win,
4417,3e3e09dccca90793e16c5540b4609bd1775a9191,playson,Royal Coins 2: Hold and Win Mobile,
7317,b21524a25ec72f41ca83124c31685c6af7041430,kagaming,Robot Wars,-
7318,17e0d1f89da04129d562f059f0735c3812ea9c2c,kagaming,Robot Wars Mobile,-
7320,3df8adb9c20cbb8851a6b623152a266044a6255d,kagaming,Oktoberfest Mobile,-
7321,4d46a841ddbc0531452f334b49af2488f43ab577,kagaming,Lucky Video Poker,
7322,a4b78a91c2152a288a2822dee0453ed6a451fae4,kagaming,Lucky Video Poker Mobile,
7323,bccedc19cb456be5427b3a4732bc2a3122cd6467,kagaming,Squid Party,
7324,596240d90397e551597e84aefd6a8c94dc2c5d8c,kagaming,Squid Party Mobile,
7325,d0c300463c1a2559515e2cc7fc3af40c1345e1d7,kagaming,Chivalrous Girl,
7326,acaa4889c055757602a9fd23c17253e620f53a34,kagaming,Chivalrous Girl Mobile,
530,4dc4d2212de63cc18fe35276aaf75669286b8c1f,blueprint,Master of Atlantis Mobile,-
